city,state_id,lat,lng,population
New York,NY,40.6943,-73.9249,18972871
Los Angeles,CA,34.1141,-118.4068,12121244
Chicago,IL,41.8375,-87.6866,8595181
Miami,FL,25.7840,-80.2101,5711945
Dallas,TX,32.7935,-96.7667,5668165
Houston,TX,29.7860,-95.3885,5650910
Philadelphia,PA,40.0077,-75.1339,5512873
Atlanta,GA,33.7628,-84.4220,5046555
Washington,DC,38.9047,-77.0163,4810669
Boston,MA,42.3188,-71.0852,4208580
Phoenix,AZ,33.5722,-112.0892,4047095
Detroit,MI,42.3834,-83.1024,3522856
Seattle,WA,47.6211,-122.3244,3438221
San Francisco,CA,37.7558,-122.4449,3290197
San Diego,CA,32.8313,-117.1222,3084174
Minneapolis,MN,44.9635,-93.2678,2856952
Brooklyn,NY,40.6501,-73.9496,2736074
Tampa,FL,27.9945,-82.4447,2683956
Denver,CO,39.7620,-104.8758,2650725
Queens,NY,40.7498,-73.7976,2405464
Baltimore,MD,39.3051,-76.6144,2205092
Las Vegas,NV,36.2333,-115.2654,2150373
St. Louis,MO,38.6359,-90.2451,2092481
Portland,OR,45.5371,-122.6500,2036875
Riverside,CA,33.9381,-117.3949,2022285
Orlando,FL,28.4773,-81.3370,1927699
Sacramento,CA,38.5677,-121.4685,1924167
San Juan,PR,18.3985,-66.0610,1915105
San Antonio,TX,29.4632,-98.5238,1910785
San Jose,CA,37.3012,-121.8480,1729879
Pittsburgh,PA,40.4397,-79.9763,1720279
Cincinnati,OH,39.1413,-84.5060,1712287
Manhattan,NY,40.7834,-73.9662,1694263
Cleveland,OH,41.4764,-81.6805,1683059
Indianapolis,IN,39.7771,-86.1458,1659305
Austin,TX,30.3005,-97.7522,1659251
Kansas City,MO,39.1238,-94.5541,1644497
Columbus,OH,39.9862,-82.9855,1556848
Charlotte,NC,35.2083,-80.8303,1516107
Virginia Beach,VA,36.7335,-76.0435,1500764
Bronx,NY,40.8501,-73.8662,1472654
Milwaukee,WI,43.0642,-87.9675,1340981
Providence,RI,41.8230,-71.4187,1270149
Jacksonville,FL,30.3322,-81.6749,1220191
Salt Lake City,UT,40.7776,-111.9311,1135344
Nashville,TN,36.1715,-86.7842,1098486
Raleigh,NC,35.8324,-78.6429,1062018
Memphis,TN,35.1087,-89.9663,1034498
Louisville,KY,38.1663,-85.6485,1022630
Richmond,VA,37.5295,-77.4756,1008069
Buffalo,NY,42.9018,-78.8487,1004655
Oklahoma City,OK,35.4676,-97.5136,994284
Bridgeport,CT,41.1918,-73.1954,975078
New Orleans,LA,30.0687,-89.9288,925443
Fort Worth,TX,32.7817,-97.3474,908469
Hartford,CT,41.7661,-72.6834,907046
Tucson,AZ,32.1541,-110.8787,875284
Honolulu,HI,21.3294,-157.8460,835291
McAllen,TX,26.2252,-98.2467,809002
Omaha,NE,41.2627,-96.0529,806485
El Paso,TX,31.8476,-106.4300,794344
Albuquerque,NM,35.1054,-106.6465,765693
Rochester,NY,43.1680,-77.6162,737309
Sarasota,FL,27.3387,-82.5432,727388
Fresno,CA,36.7830,-119.7939,719558
Tulsa,OK,36.1283,-95.9042,715983
Allentown,PA,40.5961,-75.4756,714136
Dayton,OH,39.7805,-84.2003,709300
Birmingham,AL,33.5279,-86.7971,704676
Charleston,SC,32.8168,-79.9687,685517
Cape Coral,FL,26.6443,-81.9957,682773
Columbia,SC,34.0378,-80.9036,640502
Concord,CA,37.9722,-122.0016,640270
Colorado Springs,CO,38.8674,-104.7605,628808
Springfield,MA,42.1155,-72.5395,620494
Knoxville,TN,35.9692,-83.9496,619925
Baton Rouge,LA,30.4420,-91.1311,610751
Ogden,UT,41.2279,-111.9682,608259
Grand Rapids,MI,42.9619,-85.6562,604311
Albany,NY,42.6664,-73.7987,604077
Bakersfield,CA,35.3529,-119.0359,590845
